barcode_no,species,county,town,gridref_original,gridref_1km,gridref_10km,flag,latitude_decimal,longitude_decimal,error_radius,date
10882613,Vespula germanica,Kent,Westerham,NA,NA,NA,NA,51.267,0.0718,1.1,1922-08-01
10882549,Vespula germanica,Kent,Westerham,NA,NA,NA,NA,51.267,0.0718,1.1,1922-08-01
10881785,Vespula germanica,Berks.,Slough,NA,NA,NA,NA,51.5105,-0.595,4.5,1922-06-03
10881750,Vespula germanica,Berks.,Bagley Wood,NA,NA,NA,NA,51.7162,-1.2596,1.2,1922-06-01
10881748,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.752,-1.2577,4.9,1922-02-24
10881747,Vespula germanica,Surrey,Walton-on-the-hill,NA,NA,NA,NA,51.28,-0.247,1.9,1922-04-11
10881727,Vespula germanica,Surrey,Oxshott,NA,NA,NA,NA,51.3345,-0.3584,1.7,1922-10-06
10881540,Vespula germanica,Glos.,Rodborough,NA,NA,NA,NA,51.7391,-2.2342,0.4,1922-05-06
10881539,Vespula germanica,Surrey,Homwood,NA,NA,NA,NA,51.1922,-0.3259,0.9,1922-05-01
10881488,Vespula germanica,Surrey,Homwood,NA,NA,NA,NA,51.1922,-0.3259,0.9,1922-05-01
10881487,Vespula germanica,Surrey,Homwood,NA,NA,NA,NA,51.1922,-0.3259,0.9,1922-05-01
10881486,Vespula germanica,Surrey,Homwood,NA,NA,NA,OM,51.1922,-0.3259,0.9,1922-06-01
10881348,Vespula germanica,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1922-08-20
10884416,Vespa crabro,Oxon,Oxford,NA,NA,NA,NA,51.750899,-1.247698,0.15,1923-10-11
10884264,Vespa crabro,Norfolk,Cromer,NA,NA,NA,NA,52.9314003,1.301900029,2,1923-05-07
10884208,Vespa crabro,Suffolk,Assington,NA,NA,NA,NA,52.0074,0.8165,1,1923-06-01
10883872,Vespula vulgaris,Middx.,Colnbrook,NA,NA,NA,NA,51.483707,-0.525181,0.67,1923-07-21
10883520,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1923-09-06
10883148,Vespula vulgaris,Hants.,Totton,NA,NA,NA,NA,50.9141,-1.4986,1.6,1923-05-06
10883117,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.752,-1.2577,4.9,1923-02-03
10881579,Vespula germanica,Surrey,Virginia Water,NA,NA,NA,NA,51.406,-0.5786,2.7,1923-09-30
10883940,Vespula vulgaris,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1924-09-21
10883905,Vespula vulgaris,Oxon,Wolvercote,NA,NA,NA,NA,51.783524,-1.29165,0.9,1924-10-19
10883543,Vespula vulgaris,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1924-09-13
10883190,Vespula vulgaris,Surrey,Byfleet,NA,NA,NA,NA,51.3401,-0.4714,1.5,1924-05-21
10883189,Vespula vulgaris,Surrey,Byfleet,NA,NA,NA,NA,51.3401,-0.4714,1.5,1924-05-17
10883008,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1924-10-12
10883000,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1924-10-05
10882682,Vespula germanica,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1924-09-20
10882604,Vespula germanica,Oxon,Wolvercote,NA,NA,NA,NA,51.783524,-1.29165,0.9,1924-10-19
10881315,Vespula germanica,Essex,Brentwood,NA,NA,NA,NA,51.6205,0.3072,4.4,1924-10-13
10883798,Vespula vulgaris,Berks.,Bagley Wood,NA,NA,NA,NA,51.7162,-1.2596,1.2,1925-08-02
10883797,Vespula vulgaris,Berks.,Bagley Wood,NA,NA,NA,NA,51.7162,-1.2596,1.2,1925-08-05
